ticker,window_months,cagr,vol_annual,sharpe,sortino,beta_base,beta_local,treynor,skewness,kurtosis,max_drawdown,ttr_months,recovered
VOO,60,0.142,0.151,0.738,1.151,0.999,0.999,0.112,-0.566,-0.178,-0.239,,False
VT,60,0.115,0.142,0.612,0.931,0.904,0.904,0.096,-0.539,-0.046,-0.255,,False
QQQ,60,0.148,0.194,0.641,0.989,1.179,1.179,0.105,-0.583,0.103,-0.326,,False
SMH,60,0.283,0.297,0.88,1.577,1.531,1.531,0.171,-0.204,-0.368,-0.4,,False
VGK,60,0.116,0.167,0.545,0.853,0.85,1.0,0.107,-0.261,-0.185,-0.31,,False
BBJP,60,0.092,0.14,0.466,0.731,0.623,0.623,0.105,-0.206,0.073,-0.285,,False
VWO,60,0.054,0.142,0.208,0.323,0.533,1.0,0.055,0.18,1.069,-0.319,,False
VDC,60,0.107,0.132,0.587,0.997,0.524,0.524,0.148,0.092,-0.183,-0.13,,False
ITA,60,0.216,0.183,0.985,1.907,0.762,0.762,0.237,0.129,0.167,-0.178,,False
CIBR,60,0.088,0.192,0.361,0.539,0.871,0.871,0.08,-0.38,-0.486,-0.283,,False
ROBO,60,0.04,0.222,0.138,0.2,1.272,1.272,0.024,-0.23,-0.253,-0.41,,False
SCHD,60,0.11,0.15,0.553,0.901,0.719,0.719,0.115,-0.096,-0.458,-0.157,,False
COPX,60,0.238,0.321,0.723,1.31,0.992,0.992,0.234,-0.046,0.036,-0.365,,False
URA,60,0.305,0.366,0.82,1.475,1.088,1.088,0.276,-0.055,-0.491,-0.287,,False
SLV,60,0.281,0.288,0.89,1.807,0.389,0.389,0.659,0.309,-0.589,-0.36,,False
GLD,60,0.245,0.15,1.326,3.065,0.122,0.122,1.635,0.273,-0.491,-0.159,,False
SCHP,60,0.017,0.061,-0.24,-0.302,0.277,0.277,-0.053,-0.974,3.131,-0.138,,False
BIL,60,0.032,0.006,-0.302,-0.933,0.005,1.0,-0.377,-0.578,-1.326,-0.001,,False
BND,60,0.003,0.063,-0.436,-0.564,0.268,1.0,-0.103,-0.041,-0.043,-0.165,,False
