ticker,window_months,cagr,vol_annual,sharpe,sortino,beta_base,beta_local,treynor,skewness,kurtosis,max_drawdown,ttr_months,recovered
VOO,120,0.155,0.15,0.894,1.4,1.001,1.001,0.134,-0.672,0.918,-0.239,,False
VT,120,0.131,0.145,0.774,1.176,0.939,0.939,0.12,-0.799,1.865,-0.255,,False
QQQ,120,0.203,0.182,0.994,1.654,1.11,1.11,0.163,-0.506,0.265,-0.326,,False
SMH,120,0.333,0.262,1.153,2.071,1.385,1.385,0.219,-0.398,0.132,-0.4,,False
VGK,120,0.106,0.166,0.561,0.854,0.898,1.0,0.104,-0.534,1.587,-0.31,,False
VWO,120,0.097,0.157,0.533,0.834,0.691,1.0,0.121,-0.489,2.247,-0.319,,False
VDC,120,0.092,0.128,0.584,0.932,0.581,0.581,0.128,-0.229,0.208,-0.141,,False
ITA,120,0.17,0.21,0.756,1.184,1.021,1.021,0.156,-1.273,7.214,-0.37,,False
CIBR,120,0.154,0.194,0.724,1.199,0.952,0.952,0.148,-0.211,0.052,-0.283,,False
ROBO,120,0.135,0.218,0.592,0.91,1.275,1.275,0.101,-0.441,0.216,-0.41,,False
SCHD,120,0.134,0.15,0.766,1.229,0.847,0.847,0.136,-0.376,0.743,-0.215,,False
COPX,120,0.256,0.358,0.753,1.365,1.335,1.335,0.202,-0.068,-0.146,-0.562,,False
URA,120,0.196,0.356,0.613,1.165,1.129,1.129,0.193,0.435,0.033,-0.478,,False
SLV,120,0.196,0.293,0.679,1.324,0.526,0.526,0.378,0.443,0.455,-0.368,,False
GLD,120,0.151,0.144,0.897,1.795,0.094,0.094,1.382,0.296,-0.239,-0.181,,False
SCHP,120,0.029,0.05,0.164,0.22,0.176,0.176,0.046,-0.979,4.37,-0.138,,False
BIL,120,0.021,0.006,-0.271,-0.979,-0.001,1.0,2.741,0.428,-1.26,-0.002,,False
BND,120,0.02,0.052,-0.02,-0.027,0.151,1.0,-0.007,-0.17,0.785,-0.173,,False
